,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,Levene Test,t,df,p,Sig.,Διαφ. Μέσου (±ΤΑ)
,,Αυτοεκτίμηση,Ίσες διακυμάνσεις,-..79,18,..441,p>.05,-.42±.53
,,Αυτοπεποίθηση,Μη Ίσες διακυμάνσεις,1.90,16.88,..02,**,-.82±.23
